Subj_idx,Stimulus,Response,Confidence,Stimulus Peak Velocity (deg/s),Accuracy,Trial in Block,Task
1,1,1,2,2.005,1,12,2-stage binary/uncertainty
1,1,1,2,1.592,1,13,2-stage binary/uncertainty
1,-1,1,1,1.592,0,14,2-stage binary/uncertainty
1,1,1,2,2.958,1,15,2-stage binary/uncertainty
1,1,1,2,2.958,1,16,2-stage binary/uncertainty
1,-1,-1,2,2.958,1,17,2-stage binary/uncertainty
1,-1,-1,2,2.35,1,18,2-stage binary/uncertainty
1,1,1,2,2.35,1,19,2-stage binary/uncertainty
1,-1,-1,2,2.35,1,20,2-stage binary/uncertainty
1,1,1,2,1.867,1,21,2-stage binary/uncertainty
1,1,1,1,1.867,1,22,2-stage binary/uncertainty
1,-1,-1,1,1.867,1,23,2-stage binary/uncertainty
1,-1,-1,2,1.483,1,24,2-stage binary/uncertainty
1,-1,-1,2,1.483,1,25,2-stage binary/uncertainty
1,-1,-1,2,1.483,1,26,2-stage binary/uncertainty
1,1,1,2,1.178,1,27,2-stage binary/uncertainty
1,1,1,2,1.178,1,28,2-stage binary/uncertainty
1,-1,-1,2,1.178,1,29,2-stage binary/uncertainty
1,1,1,2,0.9355,1,30,2-stage binary/uncertainty
1,-1,-1,1,0.9355,1,31,2-stage binary/uncertainty
1,-1,-1,2,0.9355,1,32,2-stage binary/uncertainty
1,1,1,2,0.7431,1,33,2-stage binary/uncertainty
1,-1,1,1,0.7431,0,34,2-stage binary/uncertainty
1,1,1,2,1.381,1,35,2-stage binary/uncertainty
1,-1,-1,1,1.381,1,36,2-stage binary/uncertainty
1,-1,-1,2,1.381,1,37,2-stage binary/uncertainty
1,1,1,2,1.097,1,38,2-stage binary/uncertainty
1,1,1,2,1.097,1,39,2-stage binary/uncertainty
1,-1,-1,2,1.097,1,40,2-stage binary/uncertainty
1,-1,-1,1,0.8711,1,41,2-stage binary/uncertainty
1,1,1,2,0.8711,1,42,2-stage binary/uncertainty
1,-1,-1,1,0.8711,1,43,2-stage binary/uncertainty
1,1,1,2,0.6919,1,44,2-stage binary/uncertainty
1,1,1,2,0.6919,1,45,2-stage binary/uncertainty
1,1,1,2,0.6919,1,46,2-stage binary/uncertainty
1,-1,1,1,0.5496,0,47,2-stage binary/uncertainty
1,-1,1,1,1.021,0,48,2-stage binary/uncertainty
1,-1,-1,2,1.897,1,49,2-stage binary/uncertainty
1,-1,-1,2,1.897,1,50,2-stage binary/uncertainty
1,-1,-1,2,1.897,1,51,2-stage binary/uncertainty
1,1,1,1,1.507,1,52,2-stage binary/uncertainty
1,-1,-1,2,1.507,1,53,2-stage binary/uncertainty
1,-1,-1,2,1.507,1,54,2-stage binary/uncertainty
1,1,1,2,1.197,1,55,2-stage binary/uncertainty
1,1,1,2,1.197,1,56,2-stage binary/uncertainty
1,-1,-1,2,1.197,1,57,2-stage binary/uncertainty
1,-1,-1,2,0.9508,1,58,2-stage binary/uncertainty
1,-1,-1,2,0.9508,1,59,2-stage binary/uncertainty
1,-1,-1,2,0.9508,1,60,2-stage binary/uncertainty
1,-1,-1,2,0.7552,1,61,2-stage binary/uncertainty
1,1,-1,2,0.7552,0,62,2-stage binary/uncertainty
1,1,1,1,1.403,1,63,2-stage binary/uncertainty
1,1,1,2,1.403,1,64,2-stage binary/uncertainty
1,-1,-1,2,1.403,1,65,2-stage binary/uncertainty
1,1,1,2,1.114,1,66,2-stage binary/uncertainty
1,1,1,2,1.114,1,67,2-stage binary/uncertainty
1,1,1,1,1.114,1,68,2-stage binary/uncertainty
1,-1,-1,2,0.8853,1,69,2-stage binary/uncertainty
1,-1,-1,2,0.8853,1,70,2-stage binary/uncertainty
1,-1,-1,2,0.8853,1,71,2-stage binary/uncertainty
1,1,1,1,0.7032,1,72,2-stage binary/uncertainty
1,1,1,2,0.7032,1,73,2-stage binary/uncertainty
1,-1,1,1,0.7032,0,74,2-stage binary/uncertainty
1,1,1,2,1.306,1,75,2-stage binary/uncertainty
1,-1,-1,2,4,1,1,2-stage binary/uncertainty
1,-1,-1,2,4,1,2,2-stage binary/uncertainty
1,1,1,2,4,1,3,2-stage binary/uncertainty
1,1,1,2,3.177,1,4,2-stage binary/uncertainty
1,-1,-1,2,3.177,1,5,2-stage binary/uncertainty
1,1,1,2,3.177,1,6,2-stage binary/uncertainty
1,1,1,2,2.524,1,7,2-stage binary/uncertainty
1,-1,-1,2,2.524,1,8,2-stage binary/uncertainty
1,-1,-1,2,2.524,1,9,2-stage binary/uncertainty
1,1,1,2,2.005,1,10,2-stage binary/uncertainty
1,-1,-1,2,2.005,1,11,2-stage binary/uncertainty
1,1,1,2,2.005,1,12,2-stage binary/uncertainty
1,1,1,2,1.592,1,13,2-stage binary/uncertainty
1,-1,-1,2,1.592,1,14,2-stage binary/uncertainty
1,1,1,2,1.592,1,15,2-stage binary/uncertainty
1,-1,-1,2,1.265,1,16,2-stage binary/uncertainty
1,1,1,1,1.265,1,17,2-stage binary/uncertainty
1,-1,-1,1,1.265,1,18,2-stage binary/uncertainty
1,1,1,2,1.005,1,19,2-stage binary/uncertainty
1,-1,-1,1,1.005,1,20,2-stage binary/uncertainty
1,-1,-1,2,1.005,1,21,2-stage binary/uncertainty
1,1,1,2,0.7981,1,22,2-stage binary/uncertainty
1,1,1,1,0.7981,1,23,2-stage binary/uncertainty
1,-1,1,1,0.7981,0,24,2-stage binary/uncertainty
1,1,1,2,1.483,1,25,2-stage binary/uncertainty
1,-1,-1,2,1.483,1,26,2-stage binary/uncertainty
1,1,1,2,1.483,1,27,2-stage binary/uncertainty
1,-1,-1,2,1.178,1,28,2-stage binary/uncertainty
1,-1,-1,2,1.178,1,29,2-stage binary/uncertainty
1,1,1,2,1.178,1,30,2-stage binary/uncertainty
1,1,1,1,0.9355,1,31,2-stage binary/uncertainty
1,1,1,2,0.9355,1,32,2-stage binary/uncertainty
1,-1,-1,2,0.9355,1,33,2-stage binary/uncertainty
1,1,1,2,0.7431,1,34,2-stage binary/uncertainty
1,-1,-1,2,0.7431,1,35,2-stage binary/uncertainty
1,1,1,2,0.7431,1,36,2-stage binary/uncertainty
1,-1,1,1,0.5903,0,37,2-stage binary/uncertainty
1,1,1,2,1.097,1,38,2-stage binary/uncertainty
1,1,1,2,1.097,1,39,2-stage binary/uncertainty
1,1,1,2,1.097,1,40,2-stage binary/uncertainty
1,-1,-1,1,0.8711,1,41,2-stage binary/uncertainty
1,-1,-1,2,0.8711,1,42,2-stage binary/uncertainty
1,1,-1,1,0.8711,0,43,2-stage binary/uncertainty
1,-1,-1,2,1.618,1,44,2-stage binary/uncertainty
1,1,1,2,1.618,1,45,2-stage binary/uncertainty
1,1,1,2,1.618,1,46,2-stage binary/uncertainty
1,-1,-1,2,1.285,1,47,2-stage binary/uncertainty
1,1,1,2,1.285,1,48,2-stage binary/uncertainty
1,1,1,2,1.285,1,49,2-stage binary/uncertainty
1,-1,1,1,1.021,0,50,2-stage binary/uncertainty
1,1,1,2,1.897,1,51,2-stage binary/uncertainty
1,-1,-1,2,1.897,1,52,2-stage binary/uncertainty
1,1,1,2,1.897,1,53,2-stage binary/uncertainty
1,-1,-1,2,1.507,1,54,2-stage binary/uncertainty
1,1,1,2,1.507,1,55,2-stage binary/uncertainty
1,1,1,2,1.507,1,56,2-stage binary/uncertainty
1,-1,1,1,1.197,0,57,2-stage binary/uncertainty
1,1,1,2,2.224,1,58,2-stage binary/uncertainty
1,1,1,2,2.224,1,59,2-stage binary/uncertainty
1,-1,-1,2,2.224,1,60,2-stage binary/uncertainty
1,-1,-1,2,1.766,1,61,2-stage binary/uncertainty
1,1,1,2,1.766,1,62,2-stage binary/uncertainty
1,1,1,2,1.766,1,63,2-stage binary/uncertainty
1,-1,-1,2,1.403,1,64,2-stage binary/uncertainty
1,-1,-1,2,1.403,1,65,2-stage binary/uncertainty
1,1,1,2,1.403,1,66,2-stage binary/uncertainty
1,-1,1,1,1.114,0,67,2-stage binary/uncertainty
1,-1,-1,2,2.071,1,68,2-stage binary/uncertainty
1,-1,-1,2,2.071,1,69,2-stage binary/uncertainty
1,1,1,2,2.071,1,70,2-stage binary/uncertainty
1,-1,-1,2,1.645,1,71,2-stage binary/uncertainty
1,-1,-1,2,1.645,1,72,2-stage binary/uncertainty
1,1,1,1,1.645,1,73,2-stage binary/uncertainty
1,-1,-1,1,1.306,1,74,2-stage binary/uncertainty
1,1,1,2,1.306,1,75,2-stage binary/uncertainty
1,1,1,2,4,1,1,2-stage binary/uncertainty
1,-1,-1,2,4,1,2,2-stage binary/uncertainty
1,1,1,2,4,1,3,2-stage binary/uncertainty
1,-1,-1,2,3.177,1,4,2-stage binary/uncertainty
1,-1,-1,2,3.177,1,5,2-stage binary/uncertainty
1,1,1,2,3.177,1,6,2-stage binary/uncertainty
1,-1,-1,2,2.524,1,7,2-stage binary/uncertainty
1,1,1,2,2.524,1,8,2-stage binary/uncertainty
1,-1,-1,2,2.524,1,9,2-stage binary/uncertainty
1,1,1,2,2.005,1,10,2-stage binary/uncertainty
1,1,1,2,2.005,1,11,2-stage binary/uncertainty
1,1,1,2,2.005,1,12,2-stage binary/uncertainty
1,-1,-1,2,1.592,1,13,2-stage binary/uncertainty
1,1,1,2,1.592,1,14,2-stage binary/uncertainty
1,-1,-1,1,1.592,1,15,2-stage binary/uncertainty
1,-1,-1,2,1.265,1,16,2-stage binary/uncertainty
1,1,1,2,1.265,1,17,2-stage binary/uncertainty
1,-1,-1,1,1.265,1,18,2-stage binary/uncertainty
1,-1,-1,2,1.005,1,19,2-stage binary/uncertainty
1,-1,-1,2,1.005,1,20,2-stage binary/uncertainty
1,-1,-1,2,1.005,1,21,2-stage binary/uncertainty
1,1,1,2,0.7981,1,22,2-stage binary/uncertainty
1,-1,-1,2,0.7981,1,23,2-stage binary/uncertainty
1,1,1,2,0.7981,1,24,2-stage binary/uncertainty
1,1,1,2,0.634,1,25,2-stage binary/uncertainty
1,-1,1,1,0.634,0,26,2-stage binary/uncertainty
1,-1,-1,2,1.178,1,27,2-stage binary/uncertainty
1,-1,-1,2,1.178,1,28,2-stage binary/uncertainty
1,1,1,2,1.178,1,29,2-stage binary/uncertainty
1,-1,-1,2,0.9355,1,30,2-stage binary/uncertainty
1,-1,-1,2,0.9355,1,31,2-stage binary/uncertainty
1,1,1,2,0.9355,1,32,2-stage binary/uncertainty
1,1,1,1,0.7431,1,33,2-stage binary/uncertainty
1,1,1,2,0.7431,1,34,2-stage binary/uncertainty
1,-1,1,1,0.7431,0,35,2-stage binary/uncertainty
1,1,1,2,1.381,1,36,2-stage binary/uncertainty
1,-1,-1,2,1.381,1,37,2-stage binary/uncertainty
1,-1,-1,2,1.381,1,38,2-stage binary/uncertainty
1,1,1,2,1.097,1,39,2-stage binary/uncertainty
1,-1,-1,2,1.097,1,40,2-stage binary/uncertainty
1,1,1,2,1.097,1,41,2-stage binary/uncertainty
1,-1,-1,2,0.8711,1,42,2-stage binary/uncertainty
1,-1,-1,2,0.8711,1,43,2-stage binary/uncertainty
1,1,1,1,0.8711,1,44,2-stage binary/uncertainty
1,-1,-1,1,0.6919,1,45,2-stage binary/uncertainty
1,1,1,1,0.6919,1,46,2-stage binary/uncertainty
1,1,1,1,0.6919,1,47,2-stage binary/uncertainty
1,-1,-1,1,0.5496,1,48,2-stage binary/uncertainty
1,-1,-1,2,0.5496,1,49,2-stage binary/uncertainty
1,1,1,1,0.5496,1,50,2-stage binary/uncertainty
1,1,1,1,0.4366,1,51,2-stage binary/uncertainty
1,-1,-1,1,0.4366,1,52,2-stage binary/uncertainty
1,1,1,1,0.4366,1,53,2-stage binary/uncertainty
1,1,1,2,0.3468,1,54,2-stage binary/uncertainty
1,1,1,2,0.3468,1,55,2-stage binary/uncertainty
1,-1,-1,2,0.3468,1,56,2-stage binary/uncertainty
1,-1,-1,2,0.2755,1,57,2-stage binary/uncertainty
1,-1,-1,2,0.2755,1,58,2-stage binary/uncertainty
1,-1,-1,2,0.2755,1,59,2-stage binary/uncertainty
1,1,-1,2,0.2188,0,60,2-stage binary/uncertainty
1,-1,-1,2,0.4065,1,61,2-stage binary/uncertainty
1,-1,-1,2,0.4065,1,62,2-stage binary/uncertainty
1,-1,-1,2,0.4065,1,63,2-stage binary/uncertainty
1,1,1,1,0.3229,1,64,2-stage binary/uncertainty
1,-1,-1,2,0.3229,1,65,2-stage binary/uncertainty
1,1,-1,2,0.3229,0,66,2-stage binary/uncertainty
1,1,-1,2,0.5999,0,67,2-stage binary/uncertainty
1,1,-1,1,1.114,0,68,2-stage binary/uncertainty
1,-1,-1,2,2.071,1,69,2-stage binary/uncertainty
1,1,1,2,2.071,1,70,2-stage binary/uncertainty
1,-1,-1,2,2.071,1,71,2-stage binary/uncertainty
1,-1,-1,2,1.645,1,72,2-stage binary/uncertainty
1,1,1,1,1.645,1,73,2-stage binary/uncertainty
1,1,1,2,1.645,1,74,2-stage binary/uncertainty
1,-1,-1,2,1.306,1,75,2-stage binary/uncertainty
1,-1,-1,2,4,1,1,2-stage binary/uncertainty
1,-1,-1,2,4,1,2,2-stage binary/uncertainty
1,1,1,2,4,1,3,2-stage binary/uncertainty
1,1,1,2,3.177,1,4,2-stage binary/uncertainty
1,1,1,2,3.177,1,5,2-stage binary/uncertainty
1,-1,-1,2,3.177,1,6,2-stage binary/uncertainty
1,-1,-1,2,2.524,1,7,2-stage binary/uncertainty
1,-1,-1,2,2.524,1,8,2-stage binary/uncertainty
1,-1,-1,2,2.524,1,9,2-stage binary/uncertainty
1,1,1,2,2.005,1,10,2-stage binary/uncertainty
1,-1,-1,2,2.005,1,11,2-stage binary/uncertainty
1,1,1,2,2.005,1,12,2-stage binary/uncertainty
1,1,1,2,1.592,1,13,2-stage binary/uncertainty
1,1,1,2,1.592,1,14,2-stage binary/uncertainty
1,1,1,2,1.592,1,15,2-stage binary/uncertainty
1,1,1,2,1.265,1,16,2-stage binary/uncertainty
1,1,1,1,1.265,1,17,2-stage binary/uncertainty
1,-1,-1,1,1.265,1,18,2-stage binary/uncertainty
1,1,1,1,1.005,1,19,2-stage binary/uncertainty
1,1,1,1,1.005,1,20,2-stage binary/uncertainty
1,1,1,2,1.005,1,21,2-stage binary/uncertainty
1,-1,-1,1,0.7981,1,22,2-stage binary/uncertainty
1,-1,1,1,0.7981,0,23,2-stage binary/uncertainty
1,1,1,2,1.483,1,24,2-stage binary/uncertainty
1,1,1,2,1.483,1,25,2-stage binary/uncertainty
1,-1,-1,2,1.483,1,26,2-stage binary/uncertainty
1,-1,-1,2,1.178,1,27,2-stage binary/uncertainty
1,1,1,2,1.178,1,28,2-stage binary/uncertainty
1,1,1,2,1.178,1,29,2-stage binary/uncertainty
1,-1,1,1,0.9355,0,30,2-stage binary/uncertainty
1,-1,-1,2,1.738,1,31,2-stage binary/uncertainty
1,1,1,2,1.738,1,32,2-stage binary/uncertainty
1,-1,-1,2,1.738,1,33,2-stage binary/uncertainty
1,1,1,2,1.381,1,34,2-stage binary/uncertainty
1,1,1,2,1.381,1,35,2-stage binary/uncertainty
1,-1,-1,2,1.381,1,36,2-stage binary/uncertainty
1,-1,-1,2,1.097,1,37,2-stage binary/uncertainty
1,-1,-1,2,1.097,1,38,2-stage binary/uncertainty
1,1,1,1,1.097,1,39,2-stage binary/uncertainty
1,-1,-1,1,0.8711,1,40,2-stage binary/uncertainty
1,1,1,2,0.8711,1,41,2-stage binary/uncertainty
1,1,1,2,0.8711,1,42,2-stage binary/uncertainty
1,1,1,2,0.6919,1,43,2-stage binary/uncertainty
1,-1,1,1,0.6919,0,44,2-stage binary/uncertainty
1,1,1,2,1.285,1,45,2-stage binary/uncertainty
1,-1,1,1,1.285,0,46,2-stage binary/uncertainty
1,1,1,2,2.388,1,47,2-stage binary/uncertainty
1,-1,-1,2,2.388,1,48,2-stage binary/uncertainty
1,1,1,2,2.388,1,49,2-stage binary/uncertainty
1,1,1,2,1.897,1,50,2-stage binary/uncertainty
1,-1,-1,2,1.897,1,51,2-stage binary/uncertainty
1,-1,-1,2,1.897,1,52,2-stage binary/uncertainty
1,1,1,2,1.507,1,53,2-stage binary/uncertainty
1,1,1,2,1.507,1,54,2-stage binary/uncertainty
1,-1,-1,1,1.507,1,55,2-stage binary/uncertainty
1,-1,-1,2,1.197,1,56,2-stage binary/uncertainty
1,1,1,2,1.197,1,57,2-stage binary/uncertainty
1,-1,-1,1,1.197,1,58,2-stage binary/uncertainty
1,1,1,2,0.9508,1,59,2-stage binary/uncertainty
1,-1,-1,1,0.9508,1,60,2-stage binary/uncertainty
1,-1,-1,2,0.9508,1,61,2-stage binary/uncertainty
1,1,1,1,0.7552,1,62,2-stage binary/uncertainty
1,-1,1,1,0.7552,0,63,2-stage binary/uncertainty
1,-1,-1,2,1.403,1,64,2-stage binary/uncertainty
1,-1,-1,2,1.403,1,65,2-stage binary/uncertainty
1,1,1,2,1.403,1,66,2-stage binary/uncertainty
1,-1,-1,2,1.114,1,67,2-stage binary/uncertainty
1,-1,-1,1,1.114,1,68,2-stage binary/uncertainty
1,-1,-1,2,1.114,1,69,2-stage binary/uncertainty
1,1,1,1,0.8853,1,70,2-stage binary/uncertainty
1,1,1,1,0.8853,1,71,2-stage binary/uncertainty
1,1,1,1,0.8853,1,72,2-stage binary/uncertainty
1,1,1,2,0.7032,1,73,2-stage binary/uncertainty
1,-1,-1,1,0.7032,1,74,2-stage binary/uncertainty
1,-1,-1,2,0.7032,1,75,2-stage binary/uncertainty
1,-1,-1,2,4,1,1,2-stage binary/uncertainty
1,1,1,2,4,1,2,2-stage binary/uncertainty
1,1,1,2,4,1,3,2-stage binary/uncertainty
1,-1,-1,2,3.177,1,4,2-stage binary/uncertainty
1,-1,-1,2,3.177,1,5,2-stage binary/uncertainty
1,-1,-1,2,3.177,1,6,2-stage binary/uncertainty
1,1,1,2,2.524,1,7,2-stage binary/uncertainty
1,-1,-1,2,2.524,1,8,2-stage binary/uncertainty
1,1,1,2,2.524,1,9,2-stage binary/uncertainty
1,-1,-1,2,2.005,1,10,2-stage binary/uncertainty
1,1,1,2,2.005,1,11,2-stage binary/uncertainty
1,1,1,2,2.005,1,12,2-stage binary/uncertainty
1,-1,-1,2,1.592,1,13,2-stage binary/uncertainty
1,1,1,2,1.592,1,14,2-stage binary/uncertainty
1,-1,-1,2,1.592,1,15,2-stage binary/uncertainty
1,-1,-1,2,1.265,1,16,2-stage binary/uncertainty
1,-1,-1,2,1.265,1,17,2-stage binary/uncertainty
1,-1,-1,2,1.265,1,18,2-stage binary/uncertainty
1,1,1,2,1.005,1,19,2-stage binary/uncertainty
1,-1,1,1,1.005,0,20,2-stage binary/uncertainty
1,-1,-1,2,1.867,1,21,2-stage binary/uncertainty
1,1,1,2,1.867,1,22,2-stage binary/uncertainty
1,-1,-1,2,1.867,1,23,2-stage binary/uncertainty
1,-1,-1,2,1.483,1,24,2-stage binary/uncertainty
1,1,1,2,1.483,1,25,2-stage binary/uncertainty
1,-1,-1,2,1.483,1,26,2-stage binary/uncertainty
1,1,1,2,1.178,1,27,2-stage binary/uncertainty
1,1,1,2,1.178,1,28,2-stage binary/uncertainty
1,1,1,2,1.178,1,29,2-stage binary/uncertainty
1,-1,-1,1,0.9355,1,30,2-stage binary/uncertainty
1,-1,-1,1,0.9355,1,31,2-stage binary/uncertainty
1,-1,-1,1,0.9355,1,32,2-stage binary/uncertainty
1,1,1,1,0.7431,1,33,2-stage binary/uncertainty
1,1,1,2,0.7431,1,34,2-stage binary/uncertainty
1,-1,-1,1,0.7431,1,35,2-stage binary/uncertainty
1,-1,-1,2,0.5903,1,36,2-stage binary/uncertainty
1,-1,-1,2,0.5903,1,37,2-stage binary/uncertainty
1,-1,-1,1,0.5903,1,38,2-stage binary/uncertainty
1,1,1,1,0.4689,1,39,2-stage binary/uncertainty
1,1,1,2,0.4689,1,40,2-stage binary/uncertainty
1,-1,1,1,0.4689,0,41,2-stage binary/uncertainty
1,-1,-1,1,0.8711,1,42,2-stage binary/uncertainty
1,1,1,1,0.8711,1,43,2-stage binary/uncertainty
1,-1,-1,1,0.8711,1,44,2-stage binary/uncertainty
1,-1,-1,2,0.6919,1,45,2-stage binary/uncertainty
1,-1,-1,2,0.6919,1,46,2-stage binary/uncertainty
1,1,1,1,0.6919,1,47,2-stage binary/uncertainty
1,-1,1,1,0.5496,0,48,2-stage binary/uncertainty
1,1,1,2,1.021,1,49,2-stage binary/uncertainty
1,1,1,2,1.021,1,50,2-stage binary/uncertainty
1,1,1,2,1.021,1,51,2-stage binary/uncertainty
1,-1,1,1,0.8111,0,52,2-stage binary/uncertainty
1,-1,-1,2,1.507,1,53,2-stage binary/uncertainty
1,-1,-1,2,1.507,1,54,2-stage binary/uncertainty
1,-1,-1,2,1.507,1,55,2-stage binary/uncertainty
1,1,1,2,1.197,1,56,2-stage binary/uncertainty
1,1,1,2,1.197,1,57,2-stage binary/uncertainty
1,-1,-1,1,1.197,1,58,2-stage binary/uncertainty
1,1,1,1,0.9508,1,59,2-stage binary/uncertainty
1,-1,-1,2,0.9508,1,60,2-stage binary/uncertainty
1,1,1,2,0.9508,1,61,2-stage binary/uncertainty
1,1,1,2,0.7552,1,62,2-stage binary/uncertainty
1,1,1,2,0.7552,1,63,2-stage binary/uncertainty
1,1,1,2,0.7552,1,64,2-stage binary/uncertainty
1,-1,-1,1,0.5999,1,65,2-stage binary/uncertainty
1,-1,-1,2,0.5999,1,66,2-stage binary/uncertainty
1,1,-1,1,0.5999,0,67,2-stage binary/uncertainty
1,1,1,2,1.114,1,68,2-stage binary/uncertainty
1,1,1,2,1.114,1,69,2-stage binary/uncertainty
1,-1,1,1,1.114,0,70,2-stage binary/uncertainty
1,-1,-1,1,2.071,1,71,2-stage binary/uncertainty
1,-1,-1,2,2.071,1,72,2-stage binary/uncertainty
1,-1,-1,2,2.071,1,73,2-stage binary/uncertainty
1,-1,-1,2,1.645,1,74,2-stage binary/uncertainty
1,1,1,2,1.645,1,75,2-stage binary/uncertainty
1,1,1,2,4,1,1,2-stage binary/uncertainty
1,-1,-1,2,4,1,2,2-stage binary/uncertainty
1,1,1,2,4,1,3,2-stage binary/uncertainty
1,1,1,2,3.177,1,4,2-stage binary/uncertainty
1,-1,-1,2,3.177,1,5,2-stage binary/uncertainty
1,1,1,2,3.177,1,6,2-stage binary/uncertainty
1,-1,-1,2,2.524,1,7,2-stage binary/uncertainty
1,1,1,2,2.524,1,8,2-stage binary/uncertainty
1,-1,-1,2,2.524,1,9,2-stage binary/uncertainty
1,-1,-1,2,2.005,1,10,2-stage binary/uncertainty
1,-1,-1,2,2.005,1,11,2-stage binary/uncertainty
1,1,1,2,2.005,1,12,2-stage binary/uncertainty
1,1,1,2,1.592,1,13,2-stage binary/uncertainty
1,-1,-1,2,1.592,1,14,2-stage binary/uncertainty
1,1,1,2,1.592,1,15,2-stage binary/uncertainty
1,1,1,2,1.265,1,16,2-stage binary/uncertainty
1,-1,-1,2,1.265,1,17,2-stage binary/uncertainty
1,1,1,2,1.265,1,18,2-stage binary/uncertainty
1,-1,-1,2,1.005,1,19,2-stage binary/uncertainty
1,-1,-1,2,1.005,1,20,2-stage binary/uncertainty
1,1,1,1,1.005,1,21,2-stage binary/uncertainty
1,1,1,2,0.7981,1,22,2-stage binary/uncertainty
1,1,1,1,0.7981,1,23,2-stage binary/uncertainty
1,-1,-1,2,0.7981,1,24,2-stage binary/uncertainty
1,-1,-1,1,0.634,1,25,2-stage binary/uncertainty
1,-1,-1,2,0.634,1,26,2-stage binary/uncertainty
1,-1,-1,2,0.634,1,27,2-stage binary/uncertainty
1,1,1,1,0.5036,1,28,2-stage binary/uncertainty
1,1,1,1,0.5036,1,29,2-stage binary/uncertainty
1,1,1,1,0.5036,1,30,2-stage binary/uncertainty
1,-1,1,1,0.4,0,31,2-stage binary/uncertainty
1,-1,-1,2,0.7431,1,32,2-stage binary/uncertainty
1,1,1,2,0.7431,1,33,2-stage binary/uncertainty
1,-1,1,1,0.7431,0,34,2-stage binary/uncertainty
1,-1,-1,2,1.381,1,35,2-stage binary/uncertainty
1,1,1,2,1.381,1,36,2-stage binary/uncertainty
1,1,1,2,1.381,1,37,2-stage binary/uncertainty
1,1,1,2,1.097,1,38,2-stage binary/uncertainty
1,-1,-1,1,1.097,1,39,2-stage binary/uncertainty
1,1,1,2,1.097,1,40,2-stage binary/uncertainty
1,1,1,2,0.8711,1,41,2-stage binary/uncertainty
1,1,1,2,0.8711,1,42,2-stage binary/uncertainty
1,1,1,2,0.8711,1,43,2-stage binary/uncertainty
1,-1,1,1,0.6919,0,44,2-stage binary/uncertainty
1,1,1,2,1.285,1,45,2-stage binary/uncertainty
1,1,1,2,1.285,1,46,2-stage binary/uncertainty
1,-1,-1,1,1.285,1,47,2-stage binary/uncertainty
1,1,1,2,1.021,1,48,2-stage binary/uncertainty
1,1,1,2,1.021,1,49,2-stage binary/uncertainty
1,1,1,2,1.021,1,50,2-stage binary/uncertainty
1,-1,-1,1,0.8111,1,51,2-stage binary/uncertainty
1,1,1,1,0.8111,1,52,2-stage binary/uncertainty
1,1,1,2,0.8111,1,53,2-stage binary/uncertainty
1,-1,-1,1,0.6443,1,54,2-stage binary/uncertainty
1,-1,-1,2,0.6443,1,55,2-stage binary/uncertainty
1,1,1,1,0.6443,1,56,2-stage binary/uncertainty
1,1,1,2,0.5118,1,57,2-stage binary/uncertainty
1,1,1,1,0.5118,1,58,2-stage binary/uncertainty
1,1,1,2,0.5118,1,59,2-stage binary/uncertainty
1,-1,-1,1,0.4065,1,60,2-stage binary/uncertainty
1,1,1,2,0.4065,1,61,2-stage binary/uncertainty
1,-1,-1,1,0.4065,1,62,2-stage binary/uncertainty
1,-1,-1,2,0.3229,1,63,2-stage binary/uncertainty
1,1,-1,1,0.3229,0,64,2-stage binary/uncertainty
1,-1,-1,1,0.5999,1,65,2-stage binary/uncertainty
1,1,1,1,0.5999,1,66,2-stage binary/uncertainty
1,-1,1,2,0.5999,0,67,2-stage binary/uncertainty
1,1,1,2,1.114,1,68,2-stage binary/uncertainty
1,-1,1,1,1.114,0,69,2-stage binary/uncertainty
1,-1,-1,1,2.071,1,70,2-stage binary/uncertainty
1,-1,-1,2,2.071,1,71,2-stage binary/uncertainty
1,1,1,2,2.071,1,72,2-stage binary/uncertainty
1,-1,-1,2,1.645,1,73,2-stage binary/uncertainty
1,1,1,2,1.645,1,74,2-stage binary/uncertainty
1,1,1,2,1.645,1,75,2-stage binary/uncertainty
1,-1,-1,2,4,1,1,2-stage binary/uncertainty
1,-1,-1,2,4,1,2,2-stage binary/uncertainty
1,-1,-1,2,4,1,3,2-stage binary/uncertainty
1,1,1,2,3.177,1,4,2-stage binary/uncertainty
1,1,1,2,3.177,1,5,2-stage binary/uncertainty
1,1,1,2,3.177,1,6,2-stage binary/uncertainty
1,1,1,2,2.524,1,7,2-stage binary/uncertainty
1,1,1,2,2.524,1,8,2-stage binary/uncertainty
1,1,1,2,2.524,1,9,2-stage binary/uncertainty
1,1,1,2,2.005,1,10,2-stage binary/uncertainty
1,1,1,2,2.005,1,11,2-stage binary/uncertainty
1,1,1,2,2.005,1,12,2-stage binary/uncertainty
1,-1,-1,1,1.592,1,13,2-stage binary/uncertainty
1,1,1,2,1.592,1,14,2-stage binary/uncertainty
1,1,1,2,1.592,1,15,2-stage binary/uncertainty
1,-1,-1,2,1.265,1,16,2-stage binary/uncertainty
1,1,1,2,1.265,1,17,2-stage binary/uncertainty
1,1,1,2,1.265,1,18,2-stage binary/uncertainty
1,1,1,2,1.005,1,19,2-stage binary/uncertainty
1,1,1,2,1.005,1,20,2-stage binary/uncertainty
1,-1,-1,1,1.005,1,21,2-stage binary/uncertainty
1,1,1,1,0.7981,1,22,2-stage binary/uncertainty
